Groups,Return (%),t-stat,p-value,Sharpe,Vol (%),MaxDD (%)
4,0.626,2.754,0.0059,0.561,3.87,17.3
5,0.730,2.833,0.0046,0.586,4.32,20.3
6,0.803,2.846,0.0044,0.601,4.62,22.2
7,0.860,2.775,0.0055,0.604,4.93,24.5
8,0.909,2.775,0.0055,0.608,5.18,24.9
9,0.979,2.753,0.0059,0.633,5.36,25.3
10,1.017,2.851,0.0044,0.648,5.44,26.2
11,1.093,2.938,0.0033,0.678,5.58,26.6
12,1.159,2.995,0.0027,0.701,5.72,29.7
14,1.241,3.084,0.0020,0.721,5.96,32.2
16,1.191,2.852,0.0043,0.667,6.19,34.8
18,1.166,2.704,0.0069,0.631,6.40,35.6
20,1.193,2.810,0.0050,0.626,6.60,35.3
22,1.177,2.742,0.0061,0.599,6.80,36.1
24,1.166,2.588,0.0097,0.584,6.91,40.5
26,1.162,2.536,0.0112,0.560,7.18,43.2
28,1.139,2.427,0.0152,0.534,7.39,46.3
30,1.122,2.346,0.0190,0.517,7.52,49.5
32,1.117,2.303,0.0213,0.500,7.74,50.9
34,1.117,2.214,0.0268,0.488,7.93,57.9
36,1.022,2.003,0.0451,0.434,8.15,63.1
