Formation (J),Holding (K),mean_return,t_stat,p_value,sharpe,max_dd,volatility,n_obs
3,3,0.9077,6.676,0.0,0.6461,-54.051,4.8666,1020.0
3,6,0.8475,6.7808,0.0,0.6867,-52.3395,4.2747,1020.0
3,9,0.7939,7.8911,0.0,0.7635,-42.1787,3.6021,1020.0
3,12,0.6747,7.9436,0.0,0.7356,-37.506,3.1773,1020.0
6,3,1.237,7.2565,0.0,0.7085,-63.6413,6.0485,1020.0
6,6,1.1402,7.2273,0.0,0.742,-56.0294,5.3234,1020.0
6,9,0.9942,7.5186,0.0,0.7508,-47.62,4.587,1020.0
6,12,0.7737,6.5484,0.0,0.6326,-54.6627,4.2371,1020.0
9,3,1.4236,7.5898,0.0,0.7902,-64.1737,6.2402,1020.0
9,6,1.2084,7.0149,0.0,0.7458,-56.3444,5.6126,1020.0
9,9,0.9752,6.5288,0.0,0.6641,-56.3512,5.0867,1020.0
9,12,0.7223,5.3428,0.0,0.527,-61.8912,4.7484,1020.0
12,3,1.3449,6.9074,0.0,0.7309,-58.3037,6.3742,1020.0
12,6,1.0744,5.8509,0.0,0.6271,-63.9356,5.9346,1020.0
12,9,0.8364,5.0733,0.0,0.5284,-69.1229,5.4829,1020.0
12,12,0.6245,4.1262,0.0,0.4191,-76.7936,5.1617,1020.0
