Formation (J),Holding (K),mean_return,t_stat,p_value,sharpe,volatility,max_dd,n_obs
3,3,0.0626,0.2017,0.8401,0.0437,4.959,75.7436,375.0
3,6,0.3358,1.4973,0.1343,0.2734,4.2547,45.2422,376.0
3,9,0.341,2.1764,0.0295,0.3295,3.5858,29.4931,377.0
3,12,0.3031,2.5426,0.011,0.3398,3.0902,27.3195,377.0
6,3,0.336,1.0635,0.2875,0.1932,6.0259,70.1063,372.0
6,6,0.57,2.2088,0.0272,0.3581,5.5144,37.4758,375.0
6,9,0.4376,2.0931,0.0363,0.3171,4.7816,35.503,377.0
6,12,0.2869,1.6696,0.095,0.2372,4.1888,39.7568,377.0
9,3,0.5321,1.3672,0.1716,0.2833,6.506,70.3019,369.0
9,6,0.652,2.1079,0.035,0.3842,5.8787,47.5602,372.0
9,9,0.493,2.0951,0.0362,0.3359,5.0838,46.4998,376.0
9,12,0.2601,1.3292,0.1838,0.1964,4.5893,48.4231,377.0
12,3,0.4636,1.1926,0.233,0.2464,6.5183,67.0082,366.0
12,6,0.5169,1.5964,0.1104,0.3009,5.9512,53.9845,369.0
12,9,0.3353,1.3172,0.1878,0.222,5.2322,55.6281,373.0
12,12,0.1897,0.8768,0.3806,0.1411,4.6568,55.8642,376.0
