Liquidity,Market Cap,Avg Return (%),Volatility (%),Sharpe Ratio,t-statistic,Max Drawdown (%),p-value
1.0,0.35,0.969334283958728,8.979640647663832,0.3739428547782056,2.002873355083173,-72.75389499978486,0.04519088369713268
1.0,0.45,0.958504350194667,8.667475962823907,0.38308228160855734,2.014935547644229,-69.20601591354887,0.043911402754115834
1.0,0.55,0.9843594651688535,8.288343377148276,0.4114116727558642,2.153697519140751,-64.12470746422412,0.031263900834200574
1.0,0.65,0.9877330696093448,8.072226984686885,0.4238740719567891,2.211713997600712,-61.214905549827826,0.02698643271072703
1.0,0.75,0.9433927188315445,7.919138650688513,0.4126721838276465,2.159824410652358,-57.76951599672078,0.030786265169080656
1.0,0.85,0.9557758829709136,7.738607863127574,0.4278424283112785,2.241145778898394,-54.279161479020146,0.025016633687373602
0.95,0.35,1.136762071547873,8.925908849897096,0.4411718060645135,2.4125449240739645,-71.8984975795249,0.01584158506060291
0.95,0.45,1.243358001258438,8.546003029710286,0.5039921522821902,2.6944610186705074,-63.990586592345565,0.007050257292709569
0.95,0.55,1.263487900838325,8.226727352509313,0.5320281432039957,2.8347723283347626,-58.05132595208041,0.004585835408247748
0.95,0.65,1.2551217678142805,7.97890369434706,0.5449206444439737,2.8869170496696652,-57.610327272169926,0.0038903678106361455
0.95,0.75,1.2080780414040297,7.859913719543401,0.5324365182323229,2.845236676804427,-53.69022440710557,0.004437843518651593
0.95,0.85,1.186453542309903,7.663194599275756,0.5363292787305802,2.8682011858681262,-50.748962390256345,0.004128129397935204
0.9,0.35,1.2239114910173903,8.919920174473187,0.47531297252549676,2.576569428512464,-73.53312183575986,0.009978616358135637
0.9,0.45,1.3020398348817959,8.603443606411787,0.524254996176916,2.8340416759459863,-64.96160679665964,0.00459633372668206
0.9,0.55,1.4007341528902215,8.221954220396398,0.5901620601788866,3.1691213898698596,-52.913923357316385,0.001529005210750856
0.9,0.65,1.2583758668639669,8.010413309929817,0.544184389019002,2.8934807593257568,-54.99551438108453,0.0038099763297250195
0.9,0.75,1.2371037306871935,7.794081339183506,0.5498342710412852,2.925062766174714,-58.93928743552426,0.0034438675346231
0.9,0.85,1.193337982001429,7.649267429030701,0.5404235201880255,2.8636254061512636,-58.320267797728796,0.004188229877646294
0.8,0.35,1.3093584351652845,9.06245441987513,0.5004991429366883,2.7453177751093736,-72.98691286898205,0.0060452329667030754
0.8,0.45,1.2983063250389832,8.659304171559814,0.5193794961357696,2.7868703902843666,-64.7698492232943,0.005321976005899563
0.8,0.55,1.2661711315838466,8.346018363547875,0.5255374803771531,2.8053380404996,-64.17383288504907,0.005026383455819168
0.8,0.65,1.1539497855883734,7.942049975030573,0.5033208464580534,2.6505581874937914,-62.896391897643944,0.008035888386121605
0.8,0.75,1.1075831002003294,7.642602004618699,0.5020254101920443,2.618408581231706,-65.18803009051503,0.00883409588581942
0.8,0.85,1.1159973260303597,7.396570819741399,0.5226649259239223,2.7462857788190886,-59.36466407635896,0.00602742348272607
0.6,0.35,1.1269758257528655,9.156294025736115,0.4263688744855318,2.2451063477016664,-81.24044865083174,0.024761306210173712
0.6,0.45,1.3049802344920682,8.488661101334086,0.5325438351304141,2.7841933144136695,-70.16999622021198,0.005366104124988457
0.6,0.55,1.3453950446328646,7.633712668789988,0.6105266662924821,3.199989533090421,-62.494864327101794,0.001374325784738782
0.6,0.65,1.2013504811229896,7.083000504740783,0.5875476274806463,3.0983208307257932,-49.81627197493753,0.0019462061098158053
0.6,0.75,1.0352816790744492,6.727038197703313,0.5331203467565766,2.8662608450856206,-56.40035655856626,0.004153518545710579
0.6,0.85,0.9326232766077325,6.223152399562201,0.5191423239191749,2.7992564979972596,-49.95732046525375,0.0051220432282319825
0.4,0.35,,,,,,
0.4,0.45,,,,,,
0.4,0.55,1.0859928320596883,6.906851931728671,0.544674992420813,2.8154947284697225,-57.6842317309641,0.004870219594033742
0.4,0.65,0.9406451773741961,6.372027955380803,0.511374165498111,2.7215539784525293,-53.575654389363905,0.006497577269819575
0.4,0.75,0.8406939915220993,6.195071314866377,0.47009134614475784,2.541251665968628,-53.878441690746435,0.011045638141860463
0.4,0.85,0.7469349915195226,5.965773338514523,0.43371723391186706,2.3627281082582567,-57.20416546599875,0.018140973396988395
